z color ID
0.691000 0.797000 115333.98+010904.9
0.692000 1.129000 022045.90-055116.5
0.693000 1.157000 022605.44-043226.8
0.693000 0.895000 115723.32+001708.9
0.693000 0.923000 223738.01+003648.6
0.694000 0.621000 023053.85-035702.0
0.695000 0.729000 37.567617999999996
0.697000 1.074000 020454.66-051014.4
0.698000 -0.194000 120554.25-004428.2
0.700000 2.014000 224302.12+014603.1
0.700400 0.680000 222518.67+011243.5
0.701000 0.746000 090601.66+002020.7
0.702000 0.995000 221639.01+001943.7
0.703000 1.194000 021104.10-050406.3
0.703000 1.527000 221933.88+012023.6
0.704000 1.144000 021054.08-051351.7
0.704300 1.161000 223347.95+004336.6
0.705000 -0.345000 115155.74+011221.2
0.706000 1.474000 020718.13-060405.7
0.707000 1.478000 084230.96+010829.2
0.707000 0.804000 141526.07+000448.5
0.708000 1.246000 222733.43+003210.9
0.710000 0.081000 38.44634
0.710600 0.983000 223633.98+002913.2
0.711000 0.841000 223537.26+003551.4
0.712000 0.988000 37.607224
0.714000 1.537000 141412.78+523208.9
0.714500 0.538000 224145.41-000122.6
0.715000 0.965000 022309.20-055319.4
0.715000 0.117000 161408.54+432404.1
0.716000 0.582000 141506.93-001000.2
0.719000 1.064000 142240.36-010646.1
0.721000 1.146000 120321.10-003720.5
0.722000 0.810000 022716.12-044539.1
0.723000 1.001000 020202.44-042819.5
0.723000 1.584000 021453.66-042844.8
0.723053 0.732000 020421.06-040818.9
0.725900 1.181000 085635.78+014247.0
0.727000 1.226000 021259.10-043336.8
0.729000 1.621000 142030.62-010543.4
0.729800 0.812000 115412.54-000153.2
0.730086 1.766000 023142.18-033322.7
0.732000 0.039000 020659.51-042343.3
0.732000 1.500000 085717.97+014953.3
0.733000 0.835000 221854.37+002656.7
0.734000 0.799000 142114.04+003710.8
0.737000 1.262000 021535.93-035612.9
0.738000 1.437000 162211.20+441533.4
0.740000 2.468000 021331.35-042849.5
0.741000 0.856000 020411.04-042526.9
0.741700 0.762000 114909.13-002349.7
0.742000 0.638000 021320.16-050751.1
0.744000 0.434000 221029.67+010843.8
0.745000 0.888000 223259.47+000502.5
0.746000 1.981000 021329.89-052139.1
0.746000 0.983000 120554.64+003858.0
0.746500 0.576000 115403.28-005253.4
0.748000 1.707000 090433.45+012050.3
0.748000 0.961000 163342.24+425946.4
0.749000 1.100000 022850.40-061321.4
0.751000 1.260000 021106.88-054655.0
0.751000 1.048000 021756.83-035316.6
0.751000 0.847000 161841.15+430440.6
0.752000 0.842000 021113.92-055747.5
0.753000 0.542000 141712.96+520957.5
0.753000 1.133000 222941.56+005901.6
0.753600 1.076000 142702.69-001344.9
0.754000 1.174000 221751.96+010049.0
0.754400 1.125000 221620.26-001632.3
0.755000 1.137000 222926.59+000605.2
0.756900 1.251000 222906.87+002635.1
0.757000 1.133000 141858.80+523209.9
0.758000 1.100000 020718.49-041629.9
0.758700 1.527000 221146.16-003513.5
0.759000 0.848000 221217.03-003151.7
0.761000 1.110000 022244.40-043347.0
0.762000 1.331000 161224.53+440349.2
0.762700 1.926000 223538.53+002109.8
0.763000 1.127000 021910.51-034334.4
0.764000 1.330000 120713.70-005343.4
0.765000 0.203000 020723.77-044011.5
0.765600 0.779000 222615.67+004709.1
0.766000 1.497000 021317.42-055415.4
0.766550 0.667000 020625.17-044032.6
0.768000 0.982000 021322.56-054100.3
0.769000 1.317000 022011.63-044020.3
0.770000 -0.248000 021946.18-050041.2
0.771000 0.947000 022003.08-035247.3
0.771700 1.247000 085425.77+021406.4
0.772000 0.980000 085103.39+005355.1
0.773000 1.336000 223714.84+002559.9
0.774000 0.789000 084956.36+005903.7
0.775000 1.393000 085836.03+015044.4
