z color ID
0.575000 1.530000 022032.13-033032.2
0.578000 1.963000 020450.76-041628.6
0.580203 2.025000 021619.08-034430.5
0.585600 2.452000 223925.92+000340.3
0.589000 1.989000 37.949768
0.590900 1.288000 115832.81+005139.1
0.594000 1.957000 222923.37+003244.2
0.596000 2.576000 021010.28-035930.9
0.597000 2.024000 020308.98-060834.5
0.598000 2.452000 38.314685
0.599600 2.281000 220749.50-002813.3
0.600000 0.332000 021642.05-045559.6
0.600000 2.307000 023025.82-042354.5
0.601900 2.397000 115342.99-001159.7
0.602300 2.287000 222030.08-002216.2
0.603000 1.462000 223624.24+012716.9
0.609141 2.453000 021130.36-041350.9
0.610000 1.324000 37.749407
0.614000 1.955000 022246.24-041450.8
0.616000 2.850000 021259.54-060838.8
0.616700 3.563000 090006.26+021537.3
0.621100 1.826000 162039.12+430814.5
0.622000 1.625000 022142.64-052037.8
0.624000 -0.596000 162520.01+424435.5
0.627000 1.443000 022131.97-053853.8
0.629000 1.617000 021702.14-035645.7
0.634500 2.140000 220946.73-003535.5
0.636100 2.401000 221951.03+010310.2
0.638000 2.672000 222006.62-001147.2
0.641000 2.759000 021402.24-051317.4
0.645000 1.948000 021934.07-052058.2
0.645000 1.486000 023057.03-053154.1
0.645700 1.443000 084856.08+011540.0
0.646000 1.845000 021758.16-042522.1
0.647000 2.622000 021905.59-051443.4
0.648000 2.384000 38.214729999999996
0.649000 1.746000 020744.06-060955.9
0.649000 2.814000 141911.52+002646.2
0.650000 1.773000 020814.04-041945.5
0.650000 1.098000 222220.43+015723.3
0.652000 2.873000 084541.22+001316.3
0.653000 1.826000 020734.47-060542.7
0.653000 1.538000 021046.40-054854.0
0.653000 2.076000 220820.60+013030.2
0.655000 2.060000 120601.73+004212.7
0.664000 2.489000 223630.92+004541.3
0.667000 1.478000 37.540223
0.667000 1.933000 115929.24+010554.1
0.669000 1.718000 085430.23-000418.1
0.670900 2.191000 120553.64-004651.1
0.672000 2.403000 021329.06-043446.8
0.675000 1.137000 021517.88-055706.5
0.675000 1.810000 222841.63+002217.8
0.679000 2.445000 084212.11+010358.3
0.679800 3.085000 142352.01-000705.2
