z color ID
0.942000 0.506000 37.683904
0.942000 0.546000 223629.48-002341.0
0.943000 0.260000 022201.81-041329.2
0.944000 0.848000 084220.70+011310.3
0.949000 0.844000 084313.61+011634.5
0.950900 0.838000 224211.94+003333.8
0.953000 0.695000 020411.24-043953.4
0.956000 0.542000 022340.78-042255.6
0.957000 1.320000 021626.53-045308.3
0.960000 0.798000 221550.56+005122.9
0.960800 0.686000 223233.94+004132.3
0.961000 -1.181000 020532.29-052436.7
0.961100 0.678000 115829.38+000818.1
0.962000 0.067000 022711.80-045038.0
0.963000 0.619000 020624.65-043525.0
0.963200 -1.633000 090453.02+010529.8
0.964200 0.453000 222720.55-000159.2
0.965000 1.740000 223849.82-000557.9
0.966300 0.247000 143542.68-000541.8
0.967000 0.483000 022005.58-050928.8
0.968000 0.683000 021031.98-060515.2
0.968910 0.413000 020854.19-040850.8
0.969000 0.503000 223852.88+010248.2
0.971000 0.294000 37.680582
0.972000 0.121000 021336.36-044145.1
0.973300 0.649000 161756.77+423924.1
0.974800 0.351000 085516.28+013236.3
0.975000 0.605000 085109.25+003228.7
0.978000 0.547000 020426.02-050248.6
0.979000 -3.266000 120326.93+004849.1
0.979469 0.702000 020311.74-033735.0
0.980322 0.402000 021111.38-035135.7
0.981000 0.799000 022712.98-044636.4
0.982000 -1.761000 085202.21+014336.3
0.982900 0.855000 085152.22+021715.2
0.983000 0.798000 37.781855
0.983300 0.778000 115852.86-004301.9
0.984000 0.589000 020854.45-050226.0
0.984000 0.791000 021809.24-035848.7
0.985000 0.715000 222047.74+000852.8
0.986000 0.677000 021408.07-035304.9
0.986000 0.636000 141735.94+523029.8
0.987000 1.085000 141533.88+520558.0
