z color ID
0.835000 2.063000 084829.60+010356.6
0.836000 3.116000 084838.96+021035.4
0.838000 1.526000 37.624131
0.839000 -0.001000 223221.14-000617.0
0.842000 3.382000 224228.08+013909.2
0.847000 3.196000 142334.85-005849.2
0.850000 1.991000 222043.69+005900.9
0.850317 3.330000 020452.84-033711.5
0.856000 3.061000 142148.50+011107.6
0.857000 -2.822000 022140.59-053503.4
0.857000 3.407000 224002.55+012734.9
0.857200 1.217000 143454.46-002153.2
0.859000 1.754000 021324.32-053518.0
0.864000 0.374000 084238.86+015252.2
0.867300 2.377000 223837.87+004905.6
0.870000 2.012000 162703.86+422125.1
0.870100 -2.096000 084428.51+014818.7
0.872000 3.375000 022509.79-051246.5
0.875000 0.102000 084537.83+021806.4
0.877000 2.084000 38.390071999999996
0.877000 2.286000 220452.00+004004.7
0.877900 2.902000 221956.72+004332.4
0.882000 1.481000 022100.33-042558.0
0.882000 2.997000 144027.25-011827.4
0.883700 2.862000 143607.34+010036.3
0.885000 2.219000 141939.57+002835.2
0.886000 2.357000 220715.18-000347.2
0.887000 2.875000 223614.99+002040.7
0.888200 -0.164000 223730.16-002640.0
0.899617 2.551000 021413.02-042930.1
0.900000 2.205000 020951.76-055744.2
0.902000 -2.319000 222924.16-001421.0
0.902600 1.512000 221245.86+001517.1
0.903000 4.045000 37.562557
0.907800 2.432000 221409.96+005227.0
0.912000 2.288000 161541.53+423823.5
0.915000 3.674000 022507.14-051021.1
0.921000 2.495000 022537.16-042132.9
0.923000 2.139000 020301.73-045108.6
0.924000 1.328000 224059.04+004129.6
0.930000 3.595000 142010.47+003420.0
0.932000 0.583000 223126.09+000435.7
0.932500 1.921000 223336.92+000440.8
0.935000 2.412000 020718.85-060321.3
0.936000 2.982000 38.235718
0.937700 1.605000 084725.41+010331.5
0.942000 1.842000 022106.54-050557.9
0.942000 2.988000 37.683904
0.942000 1.972000 223629.48-002341.0
0.944000 2.469000 084220.70+011310.3
0.949000 2.628000 084313.61+011634.5
0.953000 1.596000 020411.24-043953.4
0.961000 3.905000 020532.29-052436.7
0.963000 2.928000 020624.65-043525.0
0.964200 2.552000 222720.55-000159.2
0.967000 2.097000 022005.58-050928.8
0.968910 1.736000 020854.19-040850.8
0.969000 2.247000 223852.88+010248.2
0.972000 2.665000 021336.36-044145.1
0.974800 2.199000 085516.28+013236.3
0.975000 2.617000 085109.25+003228.7
0.979469 3.479000 020311.74-033735.0
0.981000 2.113000 022712.98-044636.4
0.982000 3.298000 085202.21+014336.3
0.985000 1.408000 222047.74+000852.8
