ID filter results
020649.47-041452.7 I {'amp': 235.457, 'R_sersic': 1.558, 'n_sersic': 1.4, 'center_x': -0.075, 'center_y': 0.094, 'phi_G': 0.015, 'q': 0.789, 'QSO_amp': 1792.133, 'host_amp': 5992.536, 'host_flux_ratio_percent': 76.979, 'host_mag': 17.556, 'qso_x': -0.053, 'qso_y': 0.119, 'redu_Chisq': 11.962374}
021054.08-051351.7 G {'amp': 1.7, 'R_sersic': 0.558, 'n_sersic': 0.981, 'center_x': 0.5, 'center_y': -0.019, 'phi_G': 0.237, 'q': 0.667, 'QSO_amp': 301.92, 'host_amp': 4.196, 'host_flux_ratio_percent': 1.371, 'host_mag': 25.443, 'qso_x': 0.103, 'qso_y': 0.02, 'redu_Chisq': 1.111024}
021054.08-051351.7 R {'amp': 22.111, 'R_sersic': 0.558, 'n_sersic': 0.981, 'center_x': 0.213, 'center_y': 0.043, 'phi_G': 0.237, 'q': 0.667, 'QSO_amp': 303.14, 'host_amp': 54.646, 'host_flux_ratio_percent': 15.273, 'host_mag': 22.656, 'qso_x': 0.09, 'qso_y': 0.025, 'redu_Chisq': 1.074264}
021054.08-051351.7 Z {'amp': 99.101, 'R_sersic': 0.558, 'n_sersic': 0.981, 'center_x': -0.005, 'center_y': 0.039, 'phi_G': 0.237, 'q': 0.667, 'QSO_amp': 314.17, 'host_amp': 244.742, 'host_flux_ratio_percent': 43.789, 'host_mag': 21.028, 'qso_x': -0.07, 'qso_y': 0.028, 'redu_Chisq': 1.099321}
021054.08-051351.7 Y {'amp': 116.574, 'R_sersic': 0.558, 'n_sersic': 0.981, 'center_x': 0.064, 'center_y': 0.061, 'phi_G': 0.237, 'q': 0.667, 'QSO_amp': 347.658, 'host_amp': 287.862, 'host_flux_ratio_percent': 45.296, 'host_mag': 20.852, 'qso_x': -0.09, 'qso_y': 0.023, 'redu_Chisq': 1.015208}
223347.95+004336.6 I {'amp': 17.223, 'R_sersic': 1.026, 'n_sersic': 0.302, 'center_x': 0.044, 'center_y': -0.074, 'phi_G': 1.402, 'q': 0.933, 'QSO_amp': 779.705, 'host_amp': 136.16, 'host_flux_ratio_percent': 14.867, 'host_mag': 21.665, 'qso_x': 0.056, 'qso_y': -0.053, 'redu_Chisq': 2.930278}
223347.95+004336.6 G {'amp': 0.016, 'R_sersic': 1.026, 'n_sersic': 0.302, 'center_x': 0.499, 'center_y': 0.499, 'phi_G': 1.402, 'q': 0.933, 'QSO_amp': 815.569, 'host_amp': 0.124, 'host_flux_ratio_percent': 0.015, 'host_mag': 29.266, 'qso_x': 0.015, 'qso_y': 0.084, 'redu_Chisq': 8.527606}
223347.95+004336.6 R {'amp': 4.233, 'R_sersic': 1.026, 'n_sersic': 0.302, 'center_x': 0.193, 'center_y': 0.062, 'phi_G': 1.402, 'q': 0.933, 'QSO_amp': 795.911, 'host_amp': 33.461, 'host_flux_ratio_percent': 4.035, 'host_mag': 23.189, 'qso_x': 0.048, 'qso_y': 0.121, 'redu_Chisq': 1.958185}
223347.95+004336.6 Z {'amp': 25.809, 'R_sersic': 1.026, 'n_sersic': 0.302, 'center_x': 0.11, 'center_y': -0.076, 'phi_G': 1.402, 'q': 0.933, 'QSO_amp': 805.178, 'host_amp': 204.031, 'host_flux_ratio_percent': 20.217, 'host_mag': 21.226, 'qso_x': 0.051, 'qso_y': -0.047, 'redu_Chisq': 1.302316}
223347.95+004336.6 Y {'amp': 34.354, 'R_sersic': 1.026, 'n_sersic': 0.302, 'center_x': 0.101, 'center_y': -0.143, 'phi_G': 1.402, 'q': 0.933, 'QSO_amp': 833.41, 'host_amp': 271.58, 'host_flux_ratio_percent': 24.578, 'host_mag': 20.915, 'qso_x': 0.051, 'qso_y': -0.054, 'redu_Chisq': 1.154924}
115155.74+011221.2 I {'amp': 172.506, 'R_sersic': 0.405, 'n_sersic': 4.773, 'center_x': -0.151, 'center_y': -0.151, 'phi_G': -0.343, 'q': 0.602, 'QSO_amp': 305.879, 'host_amp': 387.534, 'host_flux_ratio_percent': 55.888, 'host_mag': 20.529, 'qso_x': 0.051, 'qso_y': -0.104, 'redu_Chisq': 1.512601}
115155.74+011221.2 G {'amp': 3.695, 'R_sersic': 0.405, 'n_sersic': 4.773, 'center_x': -0.125, 'center_y': -0.206, 'phi_G': -0.343, 'q': 0.602, 'QSO_amp': 306.355, 'host_amp': 12.62, 'host_flux_ratio_percent': 3.956, 'host_mag': 24.247, 'qso_x': 0.058, 'qso_y': -0.102, 'redu_Chisq': 1.106782}
115155.74+011221.2 R {'amp': 50.042, 'R_sersic': 0.405, 'n_sersic': 4.773, 'center_x': -0.137, 'center_y': -0.138, 'phi_G': -0.343, 'q': 0.602, 'QSO_amp': 274.109, 'host_amp': 122.505, 'host_flux_ratio_percent': 30.888, 'host_mag': 21.78, 'qso_x': 0.067, 'qso_y': -0.103, 'redu_Chisq': 1.100485}
115155.74+011221.2 Z {'amp': 236.102, 'R_sersic': 0.405, 'n_sersic': 4.773, 'center_x': -0.161, 'center_y': -0.147, 'phi_G': -0.343, 'q': 0.602, 'QSO_amp': 325.566, 'host_amp': 533.927, 'host_flux_ratio_percent': 62.121, 'host_mag': 20.181, 'qso_x': 0.054, 'qso_y': -0.098, 'redu_Chisq': 1.576617}
115155.74+011221.2 Y {'amp': 309.062, 'R_sersic': 0.405, 'n_sersic': 4.773, 'center_x': -0.149, 'center_y': -0.15, 'phi_G': -0.343, 'q': 0.602, 'QSO_amp': 284.237, 'host_amp': 694.83, 'host_flux_ratio_percent': 70.969, 'host_mag': 19.895, 'qso_x': 0.039, 'qso_y': -0.095, 'redu_Chisq': 1.117812}
020718.13-060405.7 I {'amp': 72.657, 'R_sersic': 0.494, 'n_sersic': 2.283, 'center_x': 0.12, 'center_y': -0.133, 'phi_G': -0.435, 'q': 0.812, 'QSO_amp': 459.866, 'host_amp': 253.112, 'host_flux_ratio_percent': 35.501, 'host_mag': 20.992, 'qso_x': 0.074, 'qso_y': -0.084, 'redu_Chisq': 1.197756}
020718.13-060405.7 G {'amp': 6.902, 'R_sersic': 0.494, 'n_sersic': 2.283, 'center_x': 0.049, 'center_y': 0.096, 'phi_G': -0.435, 'q': 0.812, 'QSO_amp': 581.001, 'host_amp': 23.527, 'host_flux_ratio_percent': 3.892, 'host_mag': 23.571, 'qso_x': 0.091, 'qso_y': -0.093, 'redu_Chisq': 1.23995}
020718.13-060405.7 R {'amp': 25.502, 'R_sersic': 0.494, 'n_sersic': 2.283, 'center_x': 0.118, 'center_y': -0.069, 'phi_G': -0.435, 'q': 0.812, 'QSO_amp': 552.78, 'host_amp': 86.976, 'host_flux_ratio_percent': 13.595, 'host_mag': 22.152, 'qso_x': 0.078, 'qso_y': -0.086, 'redu_Chisq': 1.055248}
020718.13-060405.7 Z {'amp': 105.584, 'R_sersic': 0.494, 'n_sersic': 2.283, 'center_x': 0.105, 'center_y': -0.104, 'phi_G': -0.435, 'q': 0.812, 'QSO_amp': 458.464, 'host_amp': 360.709, 'host_flux_ratio_percent': 44.033, 'host_mag': 20.607, 'qso_x': 0.077, 'qso_y': -0.086, 'redu_Chisq': 1.024427}
020718.13-060405.7 Y {'amp': 125.376, 'R_sersic': 0.494, 'n_sersic': 2.283, 'center_x': 0.043, 'center_y': -0.111, 'phi_G': -0.435, 'q': 0.812, 'QSO_amp': 456.161, 'host_amp': 432.495, 'host_flux_ratio_percent': 48.668, 'host_mag': 20.41, 'qso_x': 0.103, 'qso_y': -0.095, 'redu_Chisq': 0.988173}
084230.96+010829.2 I {'amp': 2.238, 'R_sersic': 1.864, 'n_sersic': 4.727, 'center_x': 0.011, 'center_y': -0.176, 'phi_G': -0.89, 'q': 0.55, 'QSO_amp': 1124.092, 'host_amp': 84.078, 'host_flux_ratio_percent': 6.959, 'host_mag': 22.188, 'qso_x': 0.023, 'qso_y': -0.146, 'redu_Chisq': 1.847971}
084230.96+010829.2 G {'amp': 0.0, 'R_sersic': 1.864, 'n_sersic': 4.727, 'center_x': 0.125, 'center_y': -0.498, 'phi_G': -0.89, 'q': 0.55, 'QSO_amp': 1125.056, 'host_amp': 0.012, 'host_flux_ratio_percent': 0.001, 'host_mag': 31.835, 'qso_x': 0.191, 'qso_y': -0.145, 'redu_Chisq': 1.556643}
084230.96+010829.2 R {'amp': 3.311, 'R_sersic': 1.864, 'n_sersic': 4.727, 'center_x': 0.21, 'center_y': -0.294, 'phi_G': -0.89, 'q': 0.55, 'QSO_amp': 1039.068, 'host_amp': 153.495, 'host_flux_ratio_percent': 12.871, 'host_mag': 21.535, 'qso_x': 0.184, 'qso_y': -0.138, 'redu_Chisq': 1.17451}
084230.96+010829.2 Z {'amp': 5.393, 'R_sersic': 1.864, 'n_sersic': 4.727, 'center_x': -0.042, 'center_y': -0.293, 'phi_G': -0.89, 'q': 0.55, 'QSO_amp': 1057.824, 'host_amp': 238.41, 'host_flux_ratio_percent': 18.393, 'host_mag': 21.057, 'qso_x': 0.024, 'qso_y': -0.136, 'redu_Chisq': 1.367397}
084230.96+010829.2 Y {'amp': 6.528, 'R_sersic': 1.864, 'n_sersic': 4.727, 'center_x': -0.126, 'center_y': -0.127, 'phi_G': -0.89, 'q': 0.55, 'QSO_amp': 996.95, 'host_amp': 303.343, 'host_flux_ratio_percent': 23.329, 'host_mag': 20.795, 'qso_x': 0.029, 'qso_y': -0.149, 'redu_Chisq': 1.218082}
141526.07+000448.5 I {'amp': 1256.915, 'R_sersic': 0.189, 'n_sersic': 3.928, 'center_x': 0.144, 'center_y': -0.129, 'phi_G': 0.01, 'q': 0.754, 'QSO_amp': 1.357, 'host_amp': 857.295, 'host_flux_ratio_percent': 99.842, 'host_mag': 19.667, 'qso_x': 0.019, 'qso_y': -0.02, 'redu_Chisq': 18.956248}
141526.07+000448.5 G {'amp': 32.217, 'R_sersic': 0.189, 'n_sersic': 3.928, 'center_x': 0.34, 'center_y': -0.168, 'phi_G': 0.01, 'q': 0.754, 'QSO_amp': 582.45, 'host_amp': 17.416, 'host_flux_ratio_percent': 2.903, 'host_mag': 23.898, 'qso_x': 0.295, 'qso_y': -0.102, 'redu_Chisq': 1.897285}
141526.07+000448.5 R {'amp': 248.406, 'R_sersic': 0.189, 'n_sersic': 3.928, 'center_x': 0.328, 'center_y': -0.124, 'phi_G': 0.01, 'q': 0.754, 'QSO_amp': 474.065, 'host_amp': 147.483, 'host_flux_ratio_percent': 23.728, 'host_mag': 21.578, 'qso_x': 0.293, 'qso_y': -0.099, 'redu_Chisq': 6.655012}
141526.07+000448.5 Z {'amp': 1674.278, 'R_sersic': 0.189, 'n_sersic': 3.928, 'center_x': 0.144, 'center_y': -0.107, 'phi_G': 0.01, 'q': 0.754, 'QSO_amp': 0.107, 'host_amp': 993.527, 'host_flux_ratio_percent': 99.989, 'host_mag': 19.507, 'qso_x': 0.242, 'qso_y': -0.082, 'redu_Chisq': 7.28091}
141526.07+000448.5 Y {'amp': 1896.549, 'R_sersic': 0.189, 'n_sersic': 3.928, 'center_x': 0.134, 'center_y': -0.09, 'phi_G': 0.01, 'q': 0.754, 'QSO_amp': 0.268, 'host_amp': 1045.103, 'host_flux_ratio_percent': 99.974, 'host_mag': 19.452, 'qso_x': 0.293, 'qso_y': -0.205, 'redu_Chisq': 3.775692}
222733.43+003210.9 I {'amp': 2327.29, 'R_sersic': 0.131, 'n_sersic': 6.966, 'center_x': -0.146, 'center_y': -0.034, 'phi_G': -0.391, 'q': 0.907, 'QSO_amp': 0.47, 'host_amp': 1078.121, 'host_flux_ratio_percent': 99.956, 'host_mag': 19.418, 'qso_x': -0.023, 'qso_y': 0.028, 'redu_Chisq': 4.31521}
222733.43+003210.9 G {'amp': 349.736, 'R_sersic': 0.131, 'n_sersic': 6.966, 'center_x': -0.048, 'center_y': -0.142, 'phi_G': -0.391, 'q': 0.907, 'QSO_amp': 517.388, 'host_amp': 173.776, 'host_flux_ratio_percent': 25.143, 'host_mag': 21.4, 'qso_x': -0.139, 'qso_y': -0.052, 'redu_Chisq': 2.356538}
222733.43+003210.9 R {'amp': 565.77, 'R_sersic': 0.131, 'n_sersic': 6.966, 'center_x': -0.087, 'center_y': -0.1, 'phi_G': -0.391, 'q': 0.907, 'QSO_amp': 584.324, 'host_amp': 205.266, 'host_flux_ratio_percent': 25.997, 'host_mag': 21.219, 'qso_x': -0.14, 'qso_y': -0.041, 'redu_Chisq': 1.888309}
222733.43+003210.9 Z {'amp': 3013.025, 'R_sersic': 0.131, 'n_sersic': 6.966, 'center_x': -0.138, 'center_y': -0.077, 'phi_G': -0.391, 'q': 0.907, 'QSO_amp': 95.648, 'host_amp': 1122.788, 'host_flux_ratio_percent': 92.15, 'host_mag': 19.374, 'qso_x': -0.054, 'qso_y': 0.125, 'redu_Chisq': 2.044061}
222733.43+003210.9 Y {'amp': 3074.204, 'R_sersic': 0.131, 'n_sersic': 6.966, 'center_x': -0.095, 'center_y': -0.047, 'phi_G': -0.391, 'q': 0.907, 'QSO_amp': 131.941, 'host_amp': 1220.528, 'host_flux_ratio_percent': 90.244, 'host_mag': 19.284, 'qso_x': -0.252, 'qso_y': -0.042, 'redu_Chisq': 1.6637}
144050.90+000900.8 I {'amp': 1.02, 'R_sersic': 2.133, 'n_sersic': 5.952, 'center_x': -0.04, 'center_y': -0.127, 'phi_G': -0.136, 'q': 0.863, 'QSO_amp': 1848.155, 'host_amp': 96.533, 'host_flux_ratio_percent': 4.964, 'host_mag': 22.038, 'qso_x': 0.09, 'qso_y': -0.107, 'redu_Chisq': 1.656856}
144050.90+000900.8 G {'amp': 0.381, 'R_sersic': 2.133, 'n_sersic': 5.952, 'center_x': 0.496, 'center_y': 0.071, 'phi_G': -0.136, 'q': 0.863, 'QSO_amp': 1537.219, 'host_amp': 28.912, 'host_flux_ratio_percent': 1.846, 'host_mag': 23.347, 'qso_x': -0.076, 'qso_y': 0.059, 'redu_Chisq': 1.663635}
144050.90+000900.8 R {'amp': 0.607, 'R_sersic': 2.133, 'n_sersic': 5.952, 'center_x': -0.211, 'center_y': 0.042, 'phi_G': -0.136, 'q': 0.863, 'QSO_amp': 1621.925, 'host_amp': 63.6, 'host_flux_ratio_percent': 3.773, 'host_mag': 22.491, 'qso_x': -0.075, 'qso_y': 0.059, 'redu_Chisq': 1.285751}
144050.90+000900.8 Z {'amp': 2.303, 'R_sersic': 2.133, 'n_sersic': 5.952, 'center_x': -0.026, 'center_y': -0.192, 'phi_G': -0.136, 'q': 0.863, 'QSO_amp': 1938.157, 'host_amp': 177.752, 'host_flux_ratio_percent': 8.401, 'host_mag': 21.375, 'qso_x': 0.095, 'qso_y': -0.103, 'redu_Chisq': 1.317901}
144050.90+000900.8 Y {'amp': 2.302, 'R_sersic': 2.133, 'n_sersic': 5.952, 'center_x': -0.043, 'center_y': -0.209, 'phi_G': -0.136, 'q': 0.863, 'QSO_amp': 1882.81, 'host_amp': 232.037, 'host_flux_ratio_percent': 10.972, 'host_mag': 21.086, 'qso_x': 0.094, 'qso_y': -0.103, 'redu_Chisq': 1.123123}
38.44634 I {'amp': 881.511, 'R_sersic': 0.115, 'n_sersic': 4.806, 'center_x': -0.084, 'center_y': 0.1, 'phi_G': 1.23, 'q': 0.815, 'QSO_amp': 106.619, 'host_amp': 189.253, 'host_flux_ratio_percent': 63.965, 'host_mag': 21.307, 'qso_x': -0.078, 'qso_y': 0.107, 'redu_Chisq': 1.00909}
38.44634 G {'amp': 61.871, 'R_sersic': 0.115, 'n_sersic': 4.806, 'center_x': 0.013, 'center_y': 0.184, 'phi_G': 1.23, 'q': 0.815, 'QSO_amp': 128.425, 'host_amp': 13.823, 'host_flux_ratio_percent': 9.717, 'host_mag': 24.149, 'qso_x': -0.078, 'qso_y': 0.102, 'redu_Chisq': 0.990017}
38.44634 R {'amp': 234.151, 'R_sersic': 0.115, 'n_sersic': 4.806, 'center_x': -0.14, 'center_y': -0.17, 'phi_G': 1.23, 'q': 0.815, 'QSO_amp': 137.278, 'host_amp': 53.23, 'host_flux_ratio_percent': 27.941, 'host_mag': 22.685, 'qso_x': -0.056, 'qso_y': -0.042, 'redu_Chisq': 0.980147}
38.44634 Z {'amp': 1165.901, 'R_sersic': 0.115, 'n_sersic': 4.806, 'center_x': -0.091, 'center_y': -0.053, 'phi_G': 1.23, 'q': 0.815, 'QSO_amp': 93.45, 'host_amp': 257.719, 'host_flux_ratio_percent': 73.389, 'host_mag': 20.972, 'qso_x': -0.039, 'qso_y': -0.082, 'redu_Chisq': 1.054128}
38.44634 Y {'amp': 1059.408, 'R_sersic': 0.115, 'n_sersic': 4.806, 'center_x': -0.069, 'center_y': 0.16, 'phi_G': 1.23, 'q': 0.815, 'QSO_amp': 151.725, 'host_amp': 230.825, 'host_flux_ratio_percent': 60.339, 'host_mag': 21.092, 'qso_x': -0.052, 'qso_y': 0.047, 'redu_Chisq': 1.034898}
222732.69+001756.9 I {'amp': 32443.314, 'R_sersic': 0.101, 'n_sersic': 0.392, 'center_x': 0.06, 'center_y': 0.22, 'phi_G': -1.079, 'q': 0.287, 'QSO_amp': 0.684, 'host_amp': 811.573, 'host_flux_ratio_percent': 99.916, 'host_mag': 19.727, 'qso_x': 0.123, 'qso_y': -0.103, 'redu_Chisq': 17.032836}
222732.69+001756.9 G {'amp': 0.344, 'R_sersic': 0.101, 'n_sersic': 0.392, 'center_x': 0.105, 'center_y': 0.125, 'phi_G': -1.079, 'q': 0.287, 'QSO_amp': 807.818, 'host_amp': 0.009, 'host_flux_ratio_percent': 0.001, 'host_mag': 32.164, 'qso_x': 0.048, 'qso_y': 0.046, 'redu_Chisq': 2.713276}
222732.69+001756.9 R {'amp': 4514.997, 'R_sersic': 0.101, 'n_sersic': 0.392, 'center_x': 0.105, 'center_y': 0.091, 'phi_G': -1.079, 'q': 0.287, 'QSO_amp': 679.081, 'host_amp': 112.273, 'host_flux_ratio_percent': 14.187, 'host_mag': 21.874, 'qso_x': 0.045, 'qso_y': 0.034, 'redu_Chisq': 1.982321}
222732.69+001756.9 Z {'amp': 35712.869, 'R_sersic': 0.101, 'n_sersic': 0.392, 'center_x': 0.057, 'center_y': 0.216, 'phi_G': -1.079, 'q': 0.287, 'QSO_amp': 1.03, 'host_amp': 881.525, 'host_flux_ratio_percent': 99.883, 'host_mag': 19.637, 'qso_x': 0.248, 'qso_y': -0.383, 'redu_Chisq': 2.818012}
222732.69+001756.9 Y {'amp': 5713.878, 'R_sersic': 0.101, 'n_sersic': 0.392, 'center_x': 0.074, 'center_y': 0.232, 'phi_G': -1.079, 'q': 0.287, 'QSO_amp': 703.147, 'host_amp': 144.477, 'host_flux_ratio_percent': 17.045, 'host_mag': 21.601, 'qso_x': 0.044, 'qso_y': 0.207, 'redu_Chisq': 2.794498}
223633.98+002913.2 I {'amp': 12523.282, 'R_sersic': 0.101, 'n_sersic': 0.3, 'center_x': 0.164, 'center_y': 0.241, 'phi_G': -0.805, 'q': 0.683, 'QSO_amp': 1.136, 'host_amp': 695.217, 'host_flux_ratio_percent': 99.837, 'host_mag': 19.895, 'qso_x': -0.006, 'qso_y': -0.044, 'redu_Chisq': 5.713485}
223633.98+002913.2 G {'amp': 10755.399, 'R_sersic': 0.101, 'n_sersic': 0.3, 'center_x': 0.148, 'center_y': 0.288, 'phi_G': -0.805, 'q': 0.683, 'QSO_amp': 0.099, 'host_amp': 597.783, 'host_flux_ratio_percent': 99.983, 'host_mag': 20.059, 'qso_x': 0.022, 'qso_y': 0.333, 'redu_Chisq': 1.170202}
223633.98+002913.2 R {'amp': 11226.911, 'R_sersic': 0.101, 'n_sersic': 0.3, 'center_x': 0.154, 'center_y': 0.273, 'phi_G': -0.805, 'q': 0.683, 'QSO_amp': 18.082, 'host_amp': 623.482, 'host_flux_ratio_percent': 97.182, 'host_mag': 20.013, 'qso_x': -0.007, 'qso_y': 0.168, 'redu_Chisq': 2.786845}
223633.98+002913.2 Z {'amp': 12842.421, 'R_sersic': 0.101, 'n_sersic': 0.3, 'center_x': 0.173, 'center_y': 0.252, 'phi_G': -0.805, 'q': 0.683, 'QSO_amp': 65.964, 'host_amp': 712.7, 'host_flux_ratio_percent': 91.529, 'host_mag': 19.868, 'qso_x': -0.091, 'qso_y': 0.197, 'redu_Chisq': 2.602638}
223633.98+002913.2 Y {'amp': 1549.53, 'R_sersic': 0.101, 'n_sersic': 0.3, 'center_x': -0.18, 'center_y': 0.288, 'phi_G': -0.805, 'q': 0.683, 'QSO_amp': 697.226, 'host_amp': 86.118, 'host_flux_ratio_percent': 10.994, 'host_mag': 22.162, 'qso_x': 0.184, 'qso_y': 0.248, 'redu_Chisq': 1.456297}
223537.26+003551.4 I {'amp': 1.093, 'R_sersic': 2.3, 'n_sersic': 4.359, 'center_x': -0.056, 'center_y': -0.5, 'phi_G': -1.521, 'q': 0.521, 'QSO_amp': 513.437, 'host_amp': 55.2, 'host_flux_ratio_percent': 9.707, 'host_mag': 22.645, 'qso_x': -0.06, 'qso_y': 0.04, 'redu_Chisq': 3.1042}
223537.26+003551.4 G {'amp': 0.0, 'R_sersic': 2.3, 'n_sersic': 4.359, 'center_x': -0.21, 'center_y': -0.211, 'phi_G': -1.521, 'q': 0.521, 'QSO_amp': 387.494, 'host_amp': 0.014, 'host_flux_ratio_percent': 0.004, 'host_mag': 31.649, 'qso_x': -0.066, 'qso_y': 0.055, 'redu_Chisq': 1.304481}
223537.26+003551.4 R {'amp': 0.075, 'R_sersic': 2.3, 'n_sersic': 4.359, 'center_x': -0.017, 'center_y': -0.255, 'phi_G': -1.521, 'q': 0.521, 'QSO_amp': 467.864, 'host_amp': 3.75, 'host_flux_ratio_percent': 0.795, 'host_mag': 25.565, 'qso_x': -0.071, 'qso_y': 0.047, 'redu_Chisq': 1.693182}
223537.26+003551.4 Z {'amp': 1.641, 'R_sersic': 2.3, 'n_sersic': 4.359, 'center_x': 0.126, 'center_y': -0.295, 'phi_G': -1.521, 'q': 0.521, 'QSO_amp': 561.888, 'host_amp': 93.105, 'host_flux_ratio_percent': 14.215, 'host_mag': 22.078, 'qso_x': 0.101, 'qso_y': 0.051, 'redu_Chisq': 1.344912}
223537.26+003551.4 Y {'amp': 2.643, 'R_sersic': 2.3, 'n_sersic': 4.359, 'center_x': 0.125, 'center_y': -0.292, 'phi_G': -1.521, 'q': 0.521, 'QSO_amp': 516.826, 'host_amp': 144.48, 'host_flux_ratio_percent': 21.848, 'host_mag': 21.6, 'qso_x': 0.102, 'qso_y': 0.057, 'redu_Chisq': 1.065919}
37.607224 I {'amp': 33.962, 'R_sersic': 0.969, 'n_sersic': 1.635, 'center_x': 0.065, 'center_y': 0.011, 'phi_G': -0.423, 'q': 0.664, 'QSO_amp': 76.839, 'host_amp': 311.749, 'host_flux_ratio_percent': 80.226, 'host_mag': 20.765, 'qso_x': 0.052, 'qso_y': 0.045, 'redu_Chisq': 1.629898}
37.607224 G {'amp': 5.236, 'R_sersic': 0.969, 'n_sersic': 1.635, 'center_x': 0.068, 'center_y': 0.028, 'phi_G': -0.423, 'q': 0.664, 'QSO_amp': 67.515, 'host_amp': 48.055, 'host_flux_ratio_percent': 41.581, 'host_mag': 22.796, 'qso_x': 0.047, 'qso_y': 0.037, 'redu_Chisq': 1.083368}
37.607224 R {'amp': 13.754, 'R_sersic': 0.969, 'n_sersic': 1.635, 'center_x': 0.087, 'center_y': 0.012, 'phi_G': -0.423, 'q': 0.664, 'QSO_amp': 70.607, 'host_amp': 126.141, 'host_flux_ratio_percent': 64.113, 'host_mag': 21.748, 'qso_x': 0.04, 'qso_y': 0.048, 'redu_Chisq': 1.07613}
37.607224 Z {'amp': 48.279, 'R_sersic': 0.969, 'n_sersic': 1.635, 'center_x': 0.066, 'center_y': 0.004, 'phi_G': -0.423, 'q': 0.664, 'QSO_amp': 95.119, 'host_amp': 442.996, 'host_flux_ratio_percent': 82.324, 'host_mag': 20.384, 'qso_x': 0.045, 'qso_y': 0.062, 'redu_Chisq': 1.156619}
37.607224 Y {'amp': 60.644, 'R_sersic': 0.969, 'n_sersic': 1.635, 'center_x': 0.052, 'center_y': -0.021, 'phi_G': -0.423, 'q': 0.664, 'QSO_amp': 110.322, 'host_amp': 556.245, 'host_flux_ratio_percent': 83.449, 'host_mag': 20.137, 'qso_x': 0.044, 'qso_y': 0.08, 'redu_Chisq': 1.030617}
142756.95+000755.6 I {'amp': 36.66, 'R_sersic': 0.796, 'n_sersic': 1.562, 'center_x': -0.089, 'center_y': -0.018, 'phi_G': -1.332, 'q': 0.609, 'QSO_amp': 172.227, 'host_amp': 205.106, 'host_flux_ratio_percent': 54.357, 'host_mag': 21.22, 'qso_x': -0.018, 'qso_y': 0.008, 'redu_Chisq': 1.493079}
142756.95+000755.6 G {'amp': 8.8, 'R_sersic': 0.796, 'n_sersic': 1.562, 'center_x': -0.108, 'center_y': -0.012, 'phi_G': -1.332, 'q': 0.609, 'QSO_amp': 196.602, 'host_amp': 49.274, 'host_flux_ratio_percent': 20.04, 'host_mag': 22.768, 'qso_x': -0.016, 'qso_y': 0.005, 'redu_Chisq': 1.118392}
142756.95+000755.6 R {'amp': 16.863, 'R_sersic': 0.796, 'n_sersic': 1.562, 'center_x': -0.093, 'center_y': 0.038, 'phi_G': -1.332, 'q': 0.609, 'QSO_amp': 208.366, 'host_amp': 94.37, 'host_flux_ratio_percent': 31.172, 'host_mag': 22.063, 'qso_x': -0.013, 'qso_y': 0.004, 'redu_Chisq': 1.270218}
142756.95+000755.6 Z {'amp': 47.758, 'R_sersic': 0.796, 'n_sersic': 1.562, 'center_x': -0.052, 'center_y': -0.015, 'phi_G': -1.332, 'q': 0.609, 'QSO_amp': 217.842, 'host_amp': 267.643, 'host_flux_ratio_percent': 55.129, 'host_mag': 20.931, 'qso_x': -0.017, 'qso_y': 0.013, 'redu_Chisq': 1.026975}
142756.95+000755.6 Y {'amp': 57.308, 'R_sersic': 0.796, 'n_sersic': 1.562, 'center_x': -0.107, 'center_y': -0.011, 'phi_G': -1.332, 'q': 0.609, 'QSO_amp': 157.024, 'host_amp': 320.764, 'host_flux_ratio_percent': 67.135, 'host_mag': 20.735, 'qso_x': -0.0, 'qso_y': 0.021, 'redu_Chisq': 1.150713}
085640.08+000621.8 I {'amp': 9.867, 'R_sersic': 0.709, 'n_sersic': 3.244, 'center_x': 0.242, 'center_y': -0.007, 'phi_G': -0.462, 'q': 0.883, 'QSO_amp': 130.968, 'host_amp': 85.528, 'host_flux_ratio_percent': 39.506, 'host_mag': 22.17, 'qso_x': 0.154, 'qso_y': -0.041, 'redu_Chisq': 1.053504}
085640.08+000621.8 G {'amp': 0.816, 'R_sersic': 0.709, 'n_sersic': 3.244, 'center_x': 0.004, 'center_y': 0.043, 'phi_G': -0.462, 'q': 0.883, 'QSO_amp': 107.305, 'host_amp': 7.117, 'host_flux_ratio_percent': 6.22, 'host_mag': 24.869, 'qso_x': 0.009, 'qso_y': -0.041, 'redu_Chisq': 1.109786}
085640.08+000621.8 R {'amp': 3.821, 'R_sersic': 0.709, 'n_sersic': 3.244, 'center_x': -0.088, 'center_y': 0.025, 'phi_G': -0.462, 'q': 0.883, 'QSO_amp': 114.869, 'host_amp': 33.215, 'host_flux_ratio_percent': 22.43, 'host_mag': 23.197, 'qso_x': 0.018, 'qso_y': -0.044, 'redu_Chisq': 1.231427}
085640.08+000621.8 Z {'amp': 14.706, 'R_sersic': 0.709, 'n_sersic': 3.244, 'center_x': 0.071, 'center_y': -0.008, 'phi_G': -0.462, 'q': 0.883, 'QSO_amp': 152.008, 'host_amp': 127.577, 'host_flux_ratio_percent': 45.631, 'host_mag': 21.736, 'qso_x': 0.195, 'qso_y': -0.042, 'redu_Chisq': 1.154725}
