ID filter results
020649.47-041452.7 I {'amp': 235.457, 'R_sersic': 1.558, 'n_sersic': 1.4, 'center_x': -0.075, 'center_y': 0.094, 'phi_G': 0.015, 'q': 0.789, 'QSO_amp': 1792.133, 'host_amp': 5992.536, 'host_flux_ratio_percent': 76.979, 'host_mag': 17.556, 'qso_x': -0.053, 'qso_y': 0.119, 'redu_Chisq': 11.962374}
223702.93+011120.2 G {'amp': 35.485, 'R_sersic': 2.019, 'n_sersic': 6.998, 'center_x': -0.078, 'center_y': 0.407, 'phi_G': -0.014, 'q': 0.734, 'QSO_amp': 159.124, 'host_amp': 2232.201, 'host_flux_ratio_percent': 93.346, 'host_mag': 18.628, 'qso_x': -0.0, 'qso_y': 0.388, 'redu_Chisq': 16.471032}
223702.93+011120.2 R {'amp': 82.716, 'R_sersic': 2.019, 'n_sersic': 6.998, 'center_x': -0.063, 'center_y': 0.392, 'phi_G': -0.014, 'q': 0.734, 'QSO_amp': 291.02, 'host_amp': 5353.411, 'host_flux_ratio_percent': 94.844, 'host_mag': 17.678, 'qso_x': -0.06, 'qso_y': 0.449, 'redu_Chisq': 49.771174}
223702.93+011120.2 Z {'amp': 164.858, 'R_sersic': 2.019, 'n_sersic': 6.998, 'center_x': -0.064, 'center_y': 0.227, 'phi_G': -0.014, 'q': 0.734, 'QSO_amp': 621.804, 'host_amp': 10616.569, 'host_flux_ratio_percent': 94.467, 'host_mag': 16.935, 'qso_x': -0.068, 'qso_y': 0.232, 'redu_Chisq': 13.220851}
223702.93+011120.2 Y {'amp': 191.656, 'R_sersic': 2.019, 'n_sersic': 6.998, 'center_x': -0.071, 'center_y': 0.21, 'phi_G': -0.014, 'q': 0.734, 'QSO_amp': 693.366, 'host_amp': 12401.505, 'host_flux_ratio_percent': 94.705, 'host_mag': 16.766, 'qso_x': -0.026, 'qso_y': 0.299, 'redu_Chisq': 5.857294}
37.321279 I {'amp': 207.38, 'R_sersic': 0.992, 'n_sersic': 2.062, 'center_x': 0.093, 'center_y': -0.018, 'phi_G': -0.87, 'q': 0.477, 'QSO_amp': 528.351, 'host_amp': 1587.337, 'host_flux_ratio_percent': 75.027, 'host_mag': 18.998, 'qso_x': 0.205, 'qso_y': -0.064, 'redu_Chisq': 4.873899}
37.321279 G {'amp': 64.648, 'R_sersic': 0.992, 'n_sersic': 2.062, 'center_x': -0.048, 'center_y': -0.085, 'phi_G': -0.87, 'q': 0.477, 'QSO_amp': 118.362, 'host_amp': 493.85, 'host_flux_ratio_percent': 80.667, 'host_mag': 20.266, 'qso_x': 0.355, 'qso_y': 0.159, 'redu_Chisq': 3.873515}
37.321279 R {'amp': 141.933, 'R_sersic': 0.992, 'n_sersic': 2.062, 'center_x': 0.056, 'center_y': -0.02, 'phi_G': -0.87, 'q': 0.477, 'QSO_amp': 266.659, 'host_amp': 1084.231, 'host_flux_ratio_percent': 80.261, 'host_mag': 19.412, 'qso_x': 0.229, 'qso_y': -0.012, 'redu_Chisq': 2.628712}
37.321279 Z {'amp': 262.396, 'R_sersic': 0.992, 'n_sersic': 2.062, 'center_x': 0.121, 'center_y': -0.035, 'phi_G': -0.87, 'q': 0.477, 'QSO_amp': 559.334, 'host_amp': 2025.335, 'host_flux_ratio_percent': 78.36, 'host_mag': 18.734, 'qso_x': 0.196, 'qso_y': -0.069, 'redu_Chisq': 1.842124}
37.321279 Y {'amp': 296.604, 'R_sersic': 0.992, 'n_sersic': 2.062, 'center_x': 0.131, 'center_y': -0.041, 'phi_G': -0.87, 'q': 0.477, 'QSO_amp': 781.583, 'host_amp': 2286.584, 'host_flux_ratio_percent': 74.526, 'host_mag': 18.602, 'qso_x': 0.186, 'qso_y': -0.065, 'redu_Chisq': 1.173321}
020201.75-045221.7 I {'amp': 80.295, 'R_sersic': 1.378, 'n_sersic': 2.038, 'center_x': 0.048, 'center_y': 0.125, 'phi_G': -1.111, 'q': 0.852, 'QSO_amp': 738.433, 'host_amp': 2006.082, 'host_flux_ratio_percent': 73.094, 'host_mag': 18.744, 'qso_x': 0.072, 'qso_y': 0.109, 'redu_Chisq': 4.709992}
020201.75-045221.7 G {'amp': 23.618, 'R_sersic': 1.378, 'n_sersic': 2.038, 'center_x': 0.031, 'center_y': 0.082, 'phi_G': -1.111, 'q': 0.852, 'QSO_amp': 213.96, 'host_amp': 588.996, 'host_flux_ratio_percent': 73.353, 'host_mag': 20.075, 'qso_x': 0.066, 'qso_y': 0.132, 'redu_Chisq': 3.035951}
020201.75-045221.7 R {'amp': 55.048, 'R_sersic': 1.378, 'n_sersic': 2.038, 'center_x': 0.039, 'center_y': 0.105, 'phi_G': -1.111, 'q': 0.852, 'QSO_amp': 405.441, 'host_amp': 1372.103, 'host_flux_ratio_percent': 77.191, 'host_mag': 19.157, 'qso_x': 0.07, 'qso_y': 0.12, 'redu_Chisq': 3.171304}
020201.75-045221.7 Z {'amp': 100.511, 'R_sersic': 1.378, 'n_sersic': 2.038, 'center_x': 0.049, 'center_y': 0.129, 'phi_G': -1.111, 'q': 0.852, 'QSO_amp': 860.973, 'host_amp': 2512.878, 'host_flux_ratio_percent': 74.481, 'host_mag': 18.5, 'qso_x': 0.073, 'qso_y': 0.116, 'redu_Chisq': 3.237879}
020201.75-045221.7 Y {'amp': 115.21, 'R_sersic': 1.378, 'n_sersic': 2.038, 'center_x': 0.048, 'center_y': 0.136, 'phi_G': -1.111, 'q': 0.852, 'QSO_amp': 1115.441, 'host_amp': 2870.981, 'host_flux_ratio_percent': 72.019, 'host_mag': 18.355, 'qso_x': 0.072, 'qso_y': 0.114, 'redu_Chisq': 1.331762}
38.227777 I {'amp': 89.516, 'R_sersic': 2.489, 'n_sersic': 1.815, 'center_x': 0.028, 'center_y': 0.136, 'phi_G': 0.724, 'q': 0.879, 'QSO_amp': 680.221, 'host_amp': 6195.66, 'host_flux_ratio_percent': 90.107, 'host_mag': 17.52, 'qso_x': 0.045, 'qso_y': 0.131, 'redu_Chisq': 36.798559}
