ID filter hostmag
141500.37+520658.5 G 20.761000
141500.37+520658.5 R 19.211000
141500.37+520658.5 Z 18.652000
141500.37+520658.5 Y 18.527000
084118.14+015406.6 I 19.964000
084118.14+015406.6 G 21.981000
084118.14+015406.6 R 20.558000
084118.14+015406.6 Z 19.614000
084118.14+015406.6 Y 19.456000
020326.33-055531.5 I 19.474000
020326.33-055531.5 G 20.961000
020326.33-055531.5 R 20.474000
020326.33-055531.5 Z 19.233000
020326.33-055531.5 Y 19.030000
021620.16-060537.0 I 18.983000
021620.16-060537.0 G 20.808000
021620.16-060537.0 R 19.253000
021620.16-060537.0 Z 18.810000
021620.16-060537.0 Y 18.637000
022413.71-032919.0 I 18.610000
022413.71-032919.0 G 18.394000
022413.71-032919.0 R 18.261000
022413.71-032919.0 Z 18.998000
022413.71-032919.0 Y 17.353000
141637.44+003352.2 I 18.444000
141637.44+003352.2 G 20.109000
141637.44+003352.2 R 19.112000
141637.44+003352.2 Z 18.173000
141637.44+003352.2 Y 17.742000
021037.66-044559.1 I 21.641000
021037.66-044559.1 G 23.846000
021037.66-044559.1 R 22.245000
021037.66-044559.1 Z 21.326000
021037.66-044559.1 Y 21.162000
115148.00-005856.9 I 21.751000
115148.00-005856.9 G 32.622000
115148.00-005856.9 R 22.627000
115148.00-005856.9 Z 21.409000
115148.00-005856.9 Y 21.533000
223356.68-001743.7 I 19.875000
223356.68-001743.7 G 21.658000
223356.68-001743.7 R 20.430000
223356.68-001743.7 Z 19.574000
223356.68-001743.7 Y 19.307000
084434.97+005517.7 I 17.822000
084434.97+005517.7 G 18.012000
084434.97+005517.7 R 17.907000
084434.97+005517.7 Z 20.695000
084434.97+005517.7 Y 24.501000
221837.49-001731.7 I 19.297000
221837.49-001731.7 G 20.860000
221837.49-001731.7 R 20.140000
221837.49-001731.7 Z 19.369000
221837.49-001731.7 Y 18.689000
221712.61-002502.8 I 20.162000
221712.61-002502.8 G 22.594000
221712.61-002502.8 R 20.929000
221712.61-002502.8 Z 19.886000
221712.61-002502.8 Y 19.690000
090305.91+014850.7 I 19.356000
090305.91+014850.7 G 20.974000
090305.91+014850.7 R 19.825000
090305.91+014850.7 Z 19.099000
090305.91+014850.7 Y 18.830000
021448.84-040601.7 I 19.918000
021448.84-040601.7 G 22.203000
021448.84-040601.7 R 20.613000
021448.84-040601.7 Z 19.581000
021448.84-040601.7 Y 19.406000
220906.91+004543.9 I 19.741000
220906.91+004543.9 G 20.994000
220906.91+004543.9 R 20.479000
220906.91+004543.9 Z 19.498000
220906.91+004543.9 Y 19.640000
021633.09-043031.2 I 19.002000
021633.09-043031.2 G 20.395000
021633.09-043031.2 R 19.390000
021633.09-043031.2 Z 18.896000
021633.09-043031.2 Y 18.537000
115403.00+003154.0 I 18.901000
115403.00+003154.0 G 20.540000
115403.00+003154.0 R 19.399000
115403.00+003154.0 Z 18.638000
115403.00+003154.0 Y 18.362000
221410.92+004524.3 I 21.178000
221410.92+004524.3 G 22.747000
221410.92+004524.3 R 21.543000
221410.92+004524.3 Z 21.235000
221410.92+004524.3 Y 20.435000
085559.00+005745.4 I 19.236000
085559.00+005745.4 G 20.960000
085559.00+005745.4 R 19.779000
085559.00+005745.4 Z 18.942000
085559.00+005745.4 Y 18.765000
37.119624 I 20.642000
37.119624 G 21.847000
37.119624 R 21.074000
37.119624 Z 20.407000
37.119624 Y 20.128000
021103.17-041425.0 I 20.246000
021103.17-041425.0 G 22.389000
021103.17-041425.0 R 20.800000
021103.17-041425.0 Z 19.914000
021103.17-041425.0 Y 19.822000
020354.68-060844.0 I 18.276000
