z color ID
0.850317 1.438000 020452.84-033711.5
0.856000 1.340000 142148.50+011107.6
0.857000 -3.262000 022140.59-053503.4
0.857000 1.521000 224002.55+012734.9
0.857200 -0.001000 143454.46-002153.2
0.859000 0.078000 021324.32-053518.0
0.867300 0.524000 223837.87+004905.6
0.870000 0.243000 162703.86+422125.1
0.870100 0.814000 084428.51+014818.7
0.872000 1.225000 022509.79-051246.5
0.874000 2.964000 162639.84+424815.7
0.875000 0.150000 084537.83+021806.4
0.877000 0.726000 38.390071999999996
0.877000 1.548000 220452.00+004004.7
0.877900 0.734000 221956.72+004332.4
0.882000 1.148000 144027.25-011827.4
0.883700 1.255000 143607.34+010036.3
0.885000 0.173000 141939.57+002835.2
0.886000 0.185000 220715.18-000347.2
0.887000 1.021000 223614.99+002040.7
0.888200 0.074000 223730.16-002640.0
0.888600 1.149000 090053.93-000726.1
0.899617 0.794000 021413.02-042930.1
0.900000 0.766000 020951.76-055744.2
0.902600 2.275000 221245.86+001517.1
0.903000 1.590000 37.562557
0.907800 0.719000 221409.96+005227.0
0.910000 -4.111000 224022.77-000151.9
0.912000 0.791000 161541.53+423823.5
0.915000 1.684000 022507.14-051021.1
0.921000 0.943000 022537.16-042132.9
0.923000 0.637000 020301.73-045108.6
0.924000 -0.292000 224059.04+004129.6
0.930000 1.387000 142010.47+003420.0
0.932500 1.216000 223336.92+000440.8
0.935000 0.927000 020718.85-060321.3
0.936000 1.174000 38.235718
0.937700 0.024000 084725.41+010331.5
0.942000 0.741000 022106.54-050557.9
0.942000 0.715000 37.683904
0.942000 0.528000 223629.48-002341.0
0.944000 0.778000 084220.70+011310.3
0.949000 0.566000 084313.61+011634.5
0.963000 1.063000 020624.65-043525.0
0.964200 1.991000 222720.55-000159.2
0.967000 0.537000 022005.58-050928.8
0.968910 0.356000 020854.19-040850.8
0.969000 0.635000 223852.88+010248.2
0.972000 4.934000 020327.04-045853.4
0.972000 -0.086000 021336.36-044145.1
0.974800 -0.269000 085516.28+013236.3
0.975000 1.073000 085109.25+003228.7
0.979469 1.182000 020311.74-033735.0
0.981000 0.681000 022712.98-044636.4
0.982000 1.209000 085202.21+014336.3
0.985000 -0.436000 222047.74+000852.8
